dataset,model_family,max_df,min_df,max_features,silhouette_score
20 Newsgroups,K-Means,0.7,2,200,0.038478867366877445
20 Newsgroups,GMM,0.7,2,200,-0.08599859636944207
20 Newsgroups,Hierarchical,0.7,2,200,0.06496112652153511
20 Newsgroups,K-Means,0.7,2,500,0.021329277391266787
20 Newsgroups,GMM,0.7,2,500,-0.10095945046140921
20 Newsgroups,Hierarchical,0.7,2,500,0.05560397421486769
20 Newsgroups,K-Means,0.7,2,1000,0.012135732461552912
20 Newsgroups,GMM,0.7,2,1000,-0.09460296736105124
20 Newsgroups,Hierarchical,0.7,2,1000,0.048486599095524795
20 Newsgroups,K-Means,0.7,2,10000,0.0057711475016755075
20 Newsgroups,GMM,0.7,2,10000,-0.09830317783498389
20 Newsgroups,Hierarchical,0.7,2,10000,0.04909284125119393
20 Newsgroups,K-Means,0.7,5,200,0.038478867366877445
20 Newsgroups,GMM,0.7,5,200,-0.08599859636944207
20 Newsgroups,Hierarchical,0.7,5,200,0.06496112652153511
20 Newsgroups,K-Means,0.7,5,500,0.021329277391266787
20 Newsgroups,GMM,0.7,5,500,-0.10095945046140921
20 Newsgroups,Hierarchical,0.7,5,500,0.05560397421486769
20 Newsgroups,K-Means,0.7,5,1000,0.013056451876308994
20 Newsgroups,GMM,0.7,5,1000,-0.09595551713327839
20 Newsgroups,Hierarchical,0.7,5,1000,0.05459361650012011
20 Newsgroups,K-Means,0.7,5,10000,0.005538005454126598
20 Newsgroups,GMM,0.7,5,10000,-0.11266131602886467
20 Newsgroups,Hierarchical,0.7,5,10000,0.03526043461049881
20 Newsgroups,K-Means,0.9,2,200,0.038478867366877445
20 Newsgroups,GMM,0.9,2,200,-0.08599859636944207
20 Newsgroups,Hierarchical,0.9,2,200,0.06496112652153511
20 Newsgroups,K-Means,0.9,2,500,0.021329277391266787
20 Newsgroups,GMM,0.9,2,500,-0.10095945046140921
20 Newsgroups,Hierarchical,0.9,2,500,0.05560397421486769
20 Newsgroups,K-Means,0.9,2,1000,0.012135732461552912
20 Newsgroups,GMM,0.9,2,1000,-0.09460296736105124
20 Newsgroups,Hierarchical,0.9,2,1000,0.048486599095524795
20 Newsgroups,K-Means,0.9,2,10000,0.0057711475016755075
20 Newsgroups,GMM,0.9,2,10000,-0.09830317783498389
20 Newsgroups,Hierarchical,0.9,2,10000,0.04909284125119393
20 Newsgroups,K-Means,0.9,5,200,0.038478867366877445
20 Newsgroups,GMM,0.9,5,200,-0.08599859636944207
20 Newsgroups,Hierarchical,0.9,5,200,0.06496112652153511
20 Newsgroups,K-Means,0.9,5,500,0.021329277391266787
20 Newsgroups,GMM,0.9,5,500,-0.10095945046140921
20 Newsgroups,Hierarchical,0.9,5,500,0.05560397421486769
20 Newsgroups,K-Means,0.9,5,1000,0.013056451876308994
20 Newsgroups,GMM,0.9,5,1000,-0.09595551713327839
20 Newsgroups,Hierarchical,0.9,5,1000,0.05459361650012011
20 Newsgroups,K-Means,0.9,5,10000,0.005538005454126598
20 Newsgroups,GMM,0.9,5,10000,-0.11266131602886467
20 Newsgroups,Hierarchical,0.9,5,10000,0.03526043461049881
Wikipedia Corpus,K-Means,0.7,2,200,0.06443627288670507
Wikipedia Corpus,GMM,0.7,2,200,0.10317381515815817
Wikipedia Corpus,Hierarchical,0.7,2,200,0.09392091108116327
Wikipedia Corpus,K-Means,0.7,2,500,0.039498527660969375
Wikipedia Corpus,GMM,0.7,2,500,0.09323326628476367
Wikipedia Corpus,Hierarchical,0.7,2,500,0.1100224667356008
Wikipedia Corpus,K-Means,0.7,2,1000,0.03427480182708255
Wikipedia Corpus,GMM,0.7,2,1000,0.1322376529760761
Wikipedia Corpus,Hierarchical,0.7,2,1000,0.11418427446874826
Wikipedia Corpus,K-Means,0.7,2,10000,0.014875313719491811
Wikipedia Corpus,GMM,0.7,2,10000,0.08589854379679598
Wikipedia Corpus,Hierarchical,0.7,2,10000,0.12776986541938123
Wikipedia Corpus,K-Means,0.7,5,200,0.06443627288670507
Wikipedia Corpus,GMM,0.7,5,200,0.10317381515815817
Wikipedia Corpus,Hierarchical,0.7,5,200,0.09392091108116327
Wikipedia Corpus,K-Means,0.7,5,500,0.039498527660969375
Wikipedia Corpus,GMM,0.7,5,500,0.09323326628476367
Wikipedia Corpus,Hierarchical,0.7,5,500,0.1100224667356008
Wikipedia Corpus,K-Means,0.7,5,1000,0.03427480182708255
Wikipedia Corpus,GMM,0.7,5,1000,0.1322376529760761
Wikipedia Corpus,Hierarchical,0.7,5,1000,0.11418427446874826
Wikipedia Corpus,K-Means,0.7,5,10000,0.014159865501456011
Wikipedia Corpus,GMM,0.7,5,10000,0.07451247720582768
Wikipedia Corpus,Hierarchical,0.7,5,10000,0.11822758303176463
Wikipedia Corpus,K-Means,0.9,2,200,0.05995320922411613
Wikipedia Corpus,GMM,0.9,2,200,0.11202254136064087
Wikipedia Corpus,Hierarchical,0.9,2,200,0.09800843074226091
Wikipedia Corpus,K-Means,0.9,2,500,0.04271812390796939
Wikipedia Corpus,GMM,0.9,2,500,0.12063140302041987
Wikipedia Corpus,Hierarchical,0.9,2,500,0.10405212359965814
Wikipedia Corpus,K-Means,0.9,2,1000,0.03431300860970688
Wikipedia Corpus,GMM,0.9,2,1000,0.13718558024044744
Wikipedia Corpus,Hierarchical,0.9,2,1000,0.11900327233768206
Wikipedia Corpus,K-Means,0.9,2,10000,0.014478495323759825
Wikipedia Corpus,GMM,0.9,2,10000,0.08986929776602087
Wikipedia Corpus,Hierarchical,0.9,2,10000,0.1292941679684612
Wikipedia Corpus,K-Means,0.9,5,200,0.05995320922411613
Wikipedia Corpus,GMM,0.9,5,200,0.11202254136064087
Wikipedia Corpus,Hierarchical,0.9,5,200,0.09800843074226091
Wikipedia Corpus,K-Means,0.9,5,500,0.04271812390796939
Wikipedia Corpus,GMM,0.9,5,500,0.12063140302041987
