Dataset,K,Inertia,Silhouette
20 Newsgroups,5,17319.28752661039,0.013344570146929871
20 Newsgroups,10,17026.481423445643,0.014741141355865323
20 Newsgroups,15,16843.14970078729,0.015220012417605783
20 Newsgroups,20,16749.996202620518,0.0192631945715863087
20 Newsgroups,25,16721.77786121888,0.01763267013412647
Wikipedia Corpus,5,37793.481222164395,0.029646455126849436
Wikipedia Corpus,10,36421.51054716718,0.030262954805471424
Wikipedia Corpus,15,35628.33415043647,0.03154891947391208
Wikipedia Corpus,20,35042.89049983557,0.03441936052730605
Wikipedia Corpus,25,34580.54930754938,0.032477689617468095
