Dataset,Model,max_df,max_features,Silhouette
20 Newsgroups,K-Means,0.7,200,0.04514218336346261
20 Newsgroups,Hierarchical,0.7,200,0.10560342454457355
20 Newsgroups,GMM,0.7,200,0.11078322697418613
20 Newsgroups,K-Means,0.7,500,0.02646255481265768
20 Newsgroups,Hierarchical,0.7,500,0.09542230524459419
20 Newsgroups,GMM,0.7,500,0.10777403585817696
20 Newsgroups,K-Means,0.7,1000,0.0032631945715863087
20 Newsgroups,Hierarchical,0.7,1000,0.08752922902152184
20 Newsgroups,GMM,0.7,1000,0.11384281311744567
20 Newsgroups,K-Means,0.7,10000,0.004007769044981311
20 Newsgroups,Hierarchical,0.7,10000,0.10768759401213167
20 Newsgroups,GMM,0.7,10000,0.08716645705963577
20 Newsgroups,K-Means,0.9,200,0.04514218336346261
20 Newsgroups,Hierarchical,0.9,200,0.10560342454457355
20 Newsgroups,GMM,0.9,200,0.11078322697418613
20 Newsgroups,K-Means,0.9,500,0.02646255481265768
20 Newsgroups,Hierarchical,0.9,500,0.09542230524459419
20 Newsgroups,GMM,0.9,500,0.10777403585817696
20 Newsgroups,K-Means,0.9,1000,0.0032631945715863087
20 Newsgroups,Hierarchical,0.9,1000,0.08752922902152184
20 Newsgroups,GMM,0.9,1000,0.11384281311744567
20 Newsgroups,K-Means,0.9,10000,0.004007769044981311
20 Newsgroups,Hierarchical,0.9,10000,0.10768759401213167
20 Newsgroups,GMM,0.9,10000,0.08716645705963577
Wikipedia Corpus,K-Means,0.7,200,0.06268604826960425
Wikipedia Corpus,Hierarchical,0.7,200,0.1593574037346146
Wikipedia Corpus,GMM,0.7,200,0.20415495569455452
Wikipedia Corpus,K-Means,0.7,500,0.04005932847505396
Wikipedia Corpus,Hierarchical,0.7,500,0.19602666605877206
Wikipedia Corpus,GMM,0.7,500,0.20461586867015555
Wikipedia Corpus,K-Means,0.7,1000,0.03441255864992673
Wikipedia Corpus,Hierarchical,0.7,1000,0.18404932955435585
Wikipedia Corpus,GMM,0.7,1000,0.2201772531147316
Wikipedia Corpus,K-Means,0.7,10000,0.015089629093370884
Wikipedia Corpus,Hierarchical,0.7,10000,0.19811373050115935
Wikipedia Corpus,GMM,0.7,10000,0.22245607088572664
Wikipedia Corpus,K-Means,0.9,200,0.058520134033489796
Wikipedia Corpus,Hierarchical,0.9,200,0.17892753879039786
Wikipedia Corpus,GMM,0.9,200,0.19723847397901914
Wikipedia Corpus,K-Means,0.9,500,0.04301631859752476
Wikipedia Corpus,Hierarchical,0.9,500,0.1939133596888308
Wikipedia Corpus,GMM,0.9,500,0.20587887372396357
Wikipedia Corpus,K-Means,0.9,1000,0.03441936052730605
Wikipedia Corpus,Hierarchical,0.9,1000,0.18393353532208376
Wikipedia Corpus,GMM,0.9,1000,0.21966899463165246
Wikipedia Corpus,K-Means,0.9,10000,0.015261372377229137
Wikipedia Corpus,Hierarchical,0.9,10000,0.1935785917469514
Wikipedia Corpus,GMM,0.9,10000,0.21903829863966232
